COMPTE;;INTITULE
43120.0;;OSTIE
44200;;ETAT IBS
44210;;ACOMPTE IBS
44321;;TVA … IMPUTER:DEC ULTERIEURE
44500;;ETAT:IRSA VERSER
44560;;ETAT: TVA DEDUCTIBLE
44570;;ETAT: TVA COLLECTEE
44571;;TVA A VERSER
45100;;COMPTE  COURANT ASSOC
46700;;DEB/CRED DIVERS
46800.0;;CHARGES A PAYER DEB/CRED DIVERS
48610;;CHARGE CONSTATES D'AVANCE
49100.0;;PERTE/CLIENTS
51200;;BOA ANKORONDRANO
51201;;BOA DOLLARS
51202;;BNI MADAGASCAR
51203;;BNI DOLLARS
53100;;CAISSE 
58110;;VIREMENTINTERNE:BANQ/CAISSE
58130;;VIREMENT INTERNE:BANQ/BANQ
58140;;VIREMENT INTERNE CAISSE/CAISSE
60100;;ACHAT MATIERES PREMIERESS
60200.0;;FOURNIT DE MAGASIN
60210.0;;FOURNIT BUR 
60220.0;;FOURNIT DE LOGT
60230.0;;EMBALLAGES(PLAST-CARTON....
60240.0;;PIEC RECH VOITURES ADMINISTRATIVES
60241.0;;PIEC RECH CAMIONS
60242.0;;PIEC RECH MOTO
60250.0;;AUTRES ACHATS
60300.0;;VARIATION  STOCK MAT PREM
60610;;EAU ET ELECTRICITE
60620;;GAZ,COMBUST,CARBURANT,LUBRIF
61300.0;;LOC IMMOBILIERES
61380.0;;AUTRES LOCATIONS
61550.0;;ENTRET & REP VEHICULE
61560;;MAINTENANCE
61610.0;;ASSURANCE GLOBALE DOMMAGES
61611.0;;ASSURANCE FLOTTE AUTOMOBILE
61800.0;;PHOTOCOPIE ET ASSIMILES 
61810.0;;ENVOI COLIS(LETTRE&DOC...
62100;;PERSONNEL EXTER
62210;;HONORAIRE
62220.0;;REMUNERATION DES TRANSITAIRES
62230.0;;CATALOGUES ET IMPRIMES
62240.0;;PUBLICATION
62250.0;;SPONSORING-MECENAT...
62260.0;;TS DOUANE ET ASSIMILES
62400.0;;FRAIS DE TRANSPORT
62510;;VOYAGES   ET DEPLACEMENT
62520;;MISSION(DEPL+HEBERGT+RESTø)
62530;;RECEPTION
62610;;SERVICES POSTAUX
62620;;TEL&FAX
62630;;INTERNET TANA
62740;;COMMISSIONS BANCAIRE INTERNATIONALE
62760;;COMMISSIONS BNI
62770;;COMMISSIONS BOA
62880;;AUTRES  CHARGES EXTERNES
63680;;AUTRES IMPOTS/TAXES/DROITS DIV
64100;;REMUNERATION PERSONNEL
64120;;DROIT DE CONGES
64511;;CNAPS:COTISATION  PATRONALE
64512;;OSTIE : COTISATION PATRONALE
64750;;MED ET ASSIM PERS
65800;;AUTRES CHARGES DIVERSES
65810;;ECART/PAIEMENT
65811;;PERTE/TVA NON RECUPERABLE
66200;;INTERETS  BANCAIRES BNI
66300.0;;INTERETS  BANCAIRES BOA
66600;;DIFFF  DE  CHANGE  PERTE
66680;;AGIOS/TRAITES
68110;;D.A.P  IMMO INCORPORELLES
68120;;D.A.P  IMMO  CORPORELLE
70110.0;;VENTE LOCALE
70120;;VENTES  A  L EXPORTATION
70800.0;;AUTRES PROD  DES ACT ANNEX&ACS
71300.0;;VARIATION DE STOCK  P.F
75800;;AUTRES PRODUITS D EXPLOITATION
75810;;ECART/ENCAISSEMENT
76200;;INTERET CREDITEUR BANQUES BNI
76300.0;;INTERET CREDITEUR BANQUES BOA
76600;;DIFFERENCE DE  CHANGE:PROFIT
